id,user,uid,version,changeset,timestamp
11663350,GO_OSM,282860,5,35221589,2015-11-10T17:41:14Z
11663903,GO_OSM,282860,6,35337879,2015-11-15T21:42:37Z
11664042,VeeBee23,8076754,12,63855157,2018-10-25T05:52:02Z
11664118,NorthArrow97,8794107,29,63856181,2018-10-25T06:37:33Z
11664193,VeeBee23,8076754,13,63855157,2018-10-25T05:52:02Z
11664610,Enock4seth,1803854,20,69213662,2019-04-14T20:41:02Z
11664722,makio-blois,5646270,20,97176053,2021-01-08T14:37:21Z
11664763,Enock4seth,1803854,35,69213662,2019-04-14T20:41:02Z
11665216,ChadSi,7725447,25,63875955,2018-10-25T17:27:21Z
11665277,makio-blois,5646270,24,97176053,2021-01-08T14:37:21Z
11665507,Vantajokull,9225319,16,79362905,2020-01-09T03:25:01Z
11665989,MyWayOrNoHighway,4351550,12,52639588,2017-10-04T22:18:43Z
11666285,Enock4seth,1803854,13,69213662,2019-04-14T20:41:02Z
11666365,mapsGR,8710050,14,66527347,2019-01-22T06:20:17Z
11666517,makio-blois,5646270,14,97176053,2021-01-08T14:37:21Z
11666590,shymy95,7725440,12,63905447,2018-10-26T15:55:18Z
11666794,catymaty,8484051,24,63891146,2018-10-26T07:48:25Z
11666900,prettyReady,7863698,21,63888527,2018-10-26T05:40:18Z
11667029,Enock4seth,1803854,10,69213662,2019-04-14T20:41:02Z
11689608,GO_OSM,282860,6,7651492,2011-03-23T22:52:36Z
11689974,GO_OSM,282860,6,40437117,2016-07-02T10:21:45Z
11690013,Speedy55,3775202,5,43019655,2016-10-19T20:57:23Z
11690191,GO_OSM,282860,4,32979687,2015-07-30T13:06:42Z
11690245,GO_OSM,282860,6,40437117,2016-07-02T10:21:44Z
11690618,GO_OSM,282860,4,33331291,2015-08-14T08:31:54Z
11690714,Enock4seth,1803854,16,61577451,2018-08-12T00:17:46Z
11690761,yeshja,8794061,10,63815356,2018-10-24T02:20:50Z
11690815,Dotty1,6441824,10,52019507,2017-09-13T20:34:45Z
11690864,Qwajo OSM,4853701,10,97313261,2021-01-11T14:37:03Z
11690945,Enock4seth,1803854,8,42679613,2016-10-06T09:58:03Z
11690998,GO_OSM,282860,6,33285735,2015-08-12T08:33:44Z
11691110,Dotty1,6441824,9,50996163,2017-08-10T09:55:04Z
11691142,Enock4seth,1803854,18,66559004,2019-01-23T06:11:18Z
11691165,mfbehrens99,9645335,7,98439615,2021-01-31T08:58:54Z
11691279,Sammyhawkrad,6406545,10,76121210,2019-10-23T19:33:04Z
11691286,LSM_corrector,11307702,16,86483141,2020-06-10T20:43:51Z
11691297,LSM_corrector,11307702,10,86295932,2020-06-07T01:58:29Z
11691497,k_honey,7863709,13,63805202,2018-10-23T17:51:59Z
11776299,cartorhythm,8610585,11,63791153,2018-10-23T11:03:21Z
11776680,Speedy55,3775202,5,43019770,2016-10-19T21:02:52Z
11776799,GO_OSM,282860,6,33331291,2015-08-14T08:31:54Z
11777160,Enock4seth,1803854,3,49337641,2017-06-07T14:14:43Z
